埃	*qˤə 
弔	*tˤ[e]wk-s 
跌	*lˤi[t] 
疊	*lˤ[i]p 
蝶	*lˤep 
墆	*[d]ˤet 
垤	*[d]ˤi[t] 
迭	*lˤi[t] 
墊	*[t]ˤip 
釘	*tˤeŋ 
丁	*tˤeŋ 
丁	*tˤeŋ 
頂	*tˤeŋʔ 
鼎	*tˤeŋʔ 
定	*N-tˤeŋ-s 
定	*m-tˤeŋ-s 
釘	*tˤeŋ-s 
定	*tˤeŋ-s 
冬	*tˤuŋ 
東	*tˤoŋ (< *tˤoŋʔ ?)
動	*[Cə-m-]tˤoŋʔ 
凍	*tˤoŋ-s 
兜	*tˤo 
斗	*tˤoʔ 
豆	*[N.t]ˤo-s 
豆	*[d]ˤok-s 
脰	*kə.dˤok-s 
竇	*lˤok-s 
鬥	*tˤok-s 
鬭	*tˤok-s 
都	*tˤa 
毒	*[d]ˤuk 
纛	*dˤuk 
毒	*m-[d]ˤuk-s 
讀	*C.lˤok 
獨	*[d]ˤok 
櫝	*lˤok 
牘	*lˤok 
犢	*lˤok 
裻	*[s]ˤuk 
裻	*tˤuk 
篤	*tˤuk 
賭	*mə.tˤaʔ 
堵	*tˤaʔ 
堵	*tˤaʔ 
睹	*tˤaʔ 
肚	*tˤaʔ 
肚	*m-tˤaʔ 
度	*[d]ˤak-s 
渡	*[d]ˤak-s 
妬	*tˤak-s 
妒	*tˤak-s 
蠹	*tˤak-s 
耑	*tˤor 
端	*tˤor 
短	*tˤorʔ 
斷	*N-tˤo[n]ʔ 
斷	*tˤo[n]ʔ 
段	*tˤo[n]-s 
斷	*tˤo[n]ʔ-s 
𠂤	*C.tˤuj 
堆	*C.tˤuj 
敦	*tˤur (dialect: *-r > *-j)
懟	*[d]r[u][p]-s 
兑	*lˤot-s 
兑	*lˤot-s 
隊	*lˤut-s 
轛	*[t]<r>u[t]-s 
對	*[t]ˤ[u]p-s 
敦	*tˤur 
敦	*tˤur 
豚	*lˤu[n]ʔ 
遯	*lˤu[n]ʔ 
盾	*lˤu[n]ʔ 
遁	*lˤu[n]ʔ 
遯	*lˤu[n]ʔ-s 
遁	*lˤu[n]ʔ-s 
多	*[t.l]ˤaj 
咄	*[t]ˤut 
度	*[d]ˤak 
鐸	*lˤak 
奪	*Cə.lˤot 
掇	*t<r>ot 
掇	*tˤot 
舵	*lˤajʔ  (~ *C.lˤajʔ)
墮	*lˤojʔ 
惰	*lˤojʔ 
阿	*qˤa[j] 
阿	*ʔˤa (< *qˤaj)
鵝	*ŋˤa[r] 
蛾	*ŋˤaj 
額	*C.ŋˤrak (no pre-Qín exx?)
譌	*[m]-qʷʰˤaj 
吪	*m-qʷʰˤaj 
訛	*m-qʷʰˤaj 
堊	*ʔˤak 
惡	*ʔˤak 
閼	*qˤat 
遏	*qˤat 
頞	*ʔˤat 
戹	*qˤ<r>[i]k 
厄	*qˤ<r>[i]k 
軛	*qˤ<r>[i]k 
阨	*qˤ<r>[i]k 
搤	*qˤ<r>[i]k 
隘	*qˤ<r>[i]k 
餓	*ŋˤaj-s 
愕	*N-qʰˤak 
咢	*[ŋ]ˤak 
遌	*ŋˤak 
諤	*ŋˤak 
恩	*ʔˤə[n] 
而	*nə 
兒	*ŋe 
爾	*nˤ[ə][r]ʔ 
耳	*C.nəʔ 
耳	*nəʔ 
餌	*[C.]nə(ʔ)-s 
尔	*n[ə][r]ʔ 
爾	*n[ə][r]ʔ 
爾	*n[ə][r]ʔ 
邇	*n[ə][r]ʔ 
二	*ni[j]-s 
貳	*ni[j]-s 
發	*Cə.pat 
乏	*[b](r)[o]p 
罰	*[b][a]t 
伐	*m-pat 
法	*[p.k]ap 
灋	*[p.k]ap 
髮	*pot 
番	*pʰar 
蕃	*par 
藩	*par 
笲	*[b]ro[n]-s 
凡	*[b]rom 
煩	*[b]a[n] 
燔	*[b]ar 
蕃	*[b]ar 
繁	*[b]ar 
反	*[b]ˤranʔ 
反	*Cə.panʔ 
返	*Cə.panʔ 
範	*[b](r)omʔ 
范	*[b](r)omʔ 
范	*[m-pʰ](r)omʔ 
飯	*bo[n]ʔ 
飯	*bo[n]ʔ-s 
汎	*[b](r)[u]m 
泛	*pʰ(r)[o]m-s 
芳	*[pʰ]aŋ 
方	*C-paŋ 
方	*paŋ 
方	*paŋ 
匚	*paŋ 
房	*[Cə-N-]paŋ 
坊	*[b]aŋ 
魴	*[b]aŋ 
防	*[m-p]aŋ 
妨	*pʰaŋ 
舫	*pˤaŋ-s 
紡	*pʰaŋʔ 
髣	*pʰaŋʔ 
訪	*pʰaŋ-s 
放	*paŋʔ 
昉	*paŋʔ 
瓬	*paŋʔ 
旊	*paŋʔ 
舫	*paŋ-s 
放	*paŋ-s 
妃	*pʰ[ə][j] 
飛	*Cə.pə[r] (dialect: *-r > *-j)
扉	*pə[j] 
非	*pəj 
肥	*[b][ə]r 
朏	*pʰ[ə]jʔ 
誹	*pə[j] 
匪	*pəjʔ 
匪	*pəjʔ 
蜚	*pəjʔ 
吠	*Cə.bo[t]-s 
昲	*pʰ[u]t-s 
費	*pʰ[u]t-s 
肺	*pʰo[t]-s 
祓	*pʰut 
沸	*Nə.p[u][t]-s 
疿	*pu[t]-s 
廢	*[p-k]ap-s 
廢	*pat-s 
祓	*po[t]-s 
𦐈	*(Cə.)pə[r] 
饙	*pu[r] 
分	*pə[n] 
焚	*[b]u[n] 
賁	*[b]ur 
粉	*mə.pənʔ 
憤	*[b]urʔ 
分	*[m]-pə[n]-s 
奮	*(Cə.)pə[r]-s (W dialect)
糞	*p[u]r-s 
豐	*pʰ(r)oŋ 
豐	*pʰ(r)oŋ 
豐	*pʰ(r)oŋ 
蜂	*pʰ(r)oŋ 
鋒	*pʰ(r)oŋ 
豐	*pʰ(r)oŋ (MC F!)
封	*p(r)oŋ 
風	*prəm 
縫	*(mə-)[b](r)oŋ (~ *C.[b](r)oŋ)
逢	*[C.b](r)oŋ 
覂	*p(r)omʔ (dialect: *-om > *-oŋ)
奉	*m-pʰ(r)oŋʔ 
縫	*C.[b](r)oŋ-s 
奉	*pʰ(r)oŋʔ 
賵	*[pʰ](r)u[ŋ]-s 
風	*prəm-s 
諷	*prəm-s 
缶	*p(r)uʔ 
否	*pəʔ 
鋪	*pʰ(r)a 
敷	*pʰ(r)a 
夫	*p(r)a 
膚	*pra 
怫	*[b][u]t-s 
幞	*[b](r)ok 
符	*[b](r)o 
夫	*[b]a 
