埃	*qˤə 
塈	*qʰ(r)ə[t]-s 
塈	*qʰ<r>əp-s 
翕	*qʰ(r)[ə]p 
翕	*qʰ(r)[ə]p 
塈	*qʰ(<r>)ə[t]-s 
餼	*qʰ(r)ə[t]-s 
塈	*qʰə[t]-s 
氣	*qʰət-s 
虩	*qʰrak 
戲	*ŋ̊(r)ar-s 
蝦	*[g]ˤra 
瑕	*[g]ˤra 
遐	*[g]ˤra 
騢	*[g]ˤra 
匣	*[g]ˤr[a]p 
柙	*[g]ˤr[a]p 
狎	*[g]ˤr[a]p 
舝	*[g]ˤrat 
轄	*[g]ˤrat 
峽	*N-kˤ<r>ep 
狹	*N-kˤ<r>ep 
黠	*[g]ˤri[t] 
廈	*[g]ˤraʔ 
厦	*[g]ˤraʔ 
夏	*[ɢ]ˤraʔ 
下	*gˤraʔ 
暇	*[g]ˤra-s 
芐	*[g]ˤra-s 
夏	*[g]ˤraʔ (~ *[g]ˤraʔ-s)
下	*m-gˤraʔ-s 
嚇	*qʰˤ<r>ak-s 
蹮	*sˤe[r] 
先	*sˤər 
譣	*s.qʰ[a]m 
鮮	*[s][a]r 
仙	*[s]a[r] 
僊	*[s]a[r] 
鮮	*s[a]r 
天	*l̥ˤi[n] (W dialect: l̥ˤ- > Hàn-time *xˤ- > MC x-)
銜	*[g]ˤr[a]m 
鹹	*Cə.[g]ˤr[o]m 
咸	*[g]ˤr[ə]m 
間	*N-kˤre[n] 
閑	*N-kˤre[n] 
閑	*[g]ˤra[n] 
閑	*[g]ˤra[n] 
閑	*[g]ˤra[n] 
瞷	*m-[k]ˤ<r>en 
嫌	*N-kˤem 
賢	*[g]ˤi[n] 
弦	*[ɢ]ˤi[n] 
㳄	*s-N-qa[r] 
㳄	*s-N-qa[r] 
姺	*[s]ˤərʔ 
洗	*sˤərʔ 
鮮	*[s][e]rʔ 
𤣔	*s.[n]e[r]ʔ 
獮	*s.[n]e[r]ʔ 
顯	*qʰˤenʔ 
險	*qʰr[a]mʔ 
險	*qʰr[a]mʔ 
臽	*[ɢ]ˤromʔ-s 
陷	*[ɢ]ˤromʔ-s 
限	*[g]ˤrə[n]ʔ 
俔	*N-[k]ˤenʔ 
見	*N-[k]ˤen-s 
現	*N-[k]ˤen-s 
見	*m-[k]ˤen-s 
縣	*Cə.[g]ʷˤe[n]-s 
獻	*s-ŋˤar 
霰	*sˤ[e]r-s 
𩆵	*sˤ[e]r-s 
先	*sˤər-s 
憲	*qʰar (~ *qʰar-s)
獻	*ŋ̊ar-s 
羨	*s-N-qa[r]-s 
羨	*s-[ɢ]a[n]-s 
箱	*C.[s]aŋ 
相	*[s]aŋ 
襄	*s-naŋ 
襄	*s-naŋ 
纕	*s-naŋ 
膷	*[qʰ]aŋ 
皀	*qʰaŋ 
鄉	*qʰaŋ 
薌	*qʰaŋ 
香	*qʰaŋ 
夅	*m-kˤru[ŋ]  (? < *-[u]m)
降	*m-kˤru[ŋ]  (? < *-[u]m)
庠	*s-[ɢ]aŋ 
翔	*s.[ɢ]aŋ 
詳	*s.[ɢ]aŋ 
祥	*s.ɢaŋ 
想	*[s]aŋʔ 
饟	*n̥aŋ 
饟	*n̥aŋʔ 
饟	*n̥aŋ(ʔ)-s 
享	*[qʰ]ˤraŋ (W dialect)
享	*[qʰ]aŋʔ 
亨	*[qʰ]aŋʔ 
曏	*n̥aŋʔ (W dialect: *n̥- > MC x-)
鄉	*qʰaŋʔ 
饗	*qʰaŋʔ 
響	*qʰaŋʔ 
項	*[g]ˤroŋʔ 
巷	*C.[g]ˤroŋ-s 
相	*[s]aŋ-s 
向	*n̥aŋ-s 
曏	*n̥aŋʔ-s (W dialect: *n̥- > MC x-)
鄉	*qʰaŋ-s 
嚮	*qʰaŋ-s 
橡	*s-[d]aŋʔ 
象	*s.[d]aŋʔ 
像	*s.[d]aŋʔ 
鴞	*[ɢ]ʷ(r)aw 
簫	*sˤiw 
蕭	*sˤiw 
蕭	*sˤiw 
削	*[s]ewk 
肖	*[s]ew 
宵	*[s]ew 
消	*[s]ew 
逍	*[s]ew 
霄	*[s]ew 
小	*[s]ewʔ 
曉	*qʰˤewʔ 
效	*m-[k]ˤraw-s 
斆	*m-kˤruk-s 
嘯	*sˤiw(k)-s 
笑	*[s-l]aw-s 
肖	*[s]ew-s 
削	*[s]ewk-s 
孝	*qʰˤ<r>uʔ-s 
楔	*s.qˤet 
歇	*qʰat 
鞵	*[g]ˤre (no pre-Qín exx.)
鞋	*[g]ˤre (no pre-Qín exx.)
劦	*[ɢ]ˤep 
協	*[ɢ]ˤep 
挾	*m-kˤep (?)
擷	*m-[k]ˤi[t] 
偕	*kˤrij 
挾	*S-kˤep 
脅	*qʰ<r>ep 
邪	*sə.ɢA 
寫	*s-qʰAʔ 
寫	*s-qʰAʔ 
瀉	*s-qʰAʔ 
解	*N-kˤreʔ 
解	*N-kˤreʔ 
蟹	*m-kˤreʔ 
邂	*[g]ˤre-s 
械	*[m-k]ˤrək-s 
屧	*s-lˤep 
燮	*s.qʰˤ(r)ip 
屑	*s-lˤi[t] 
卸	*s-qʰA(ʔ)-s 
絏	*s-l[a]t 
泄	*s-lat 
褻	*s-ŋet 
泄	*lat-s 
謝	*sə-lAk-s 
心	*səm 
辛	*[s]i[n] 
薪	*[s]i[n] 
新	*s.tsʰi[n] 
辛	*si[n] 
馨	*qʰˤeŋ 
歆	*[qʰ](r)əm 
昕	*qʰər 
欣	*qʰər 
罧	*s.r[ə]mʔ 
囟	*[s]ə[r]-s 
信	*s-ni[ŋ]-s 
釁	*m̥rər-s 
衅	*m̥rər-s 
星	*s-tsʰˤeŋ 
興	*qʰ(r)əŋ 
行	*Cə.[g]ˤraŋ 
行	*[g]ˤraŋ-s 
邢	*[g]ˤeŋ 
陘	*[g]ˤeŋ 
刑	*[ɢ]ˤeŋ 
刑	*[ɢ]ˤeŋ 
形	*[ɢ]ˤeŋ 
硎	*[ɢ]ˤeŋ 
醒	*s-tsʰˤeŋʔ 
省	*[s]eŋʔ 
杏	*C.[g]ˤraŋʔ 
荇	*[g]ˤraŋʔ 
幸	*[g]ˤreŋʔ 
姓	*seŋ-s 
性	*seŋ-s 
凶	*qʰ(r)oŋ 
訩	*qʰ(r)oŋ 
兄	*m̥raŋ 
熊	*C.[ɢ]ʷ(r)əm 
雄	*[ɢ]ʷəŋ 
修	*s-liw 
脩	*s-liw 
羞	*s-nu 
休	*qʰ(r)u 
休	*qʰ(r)u 
鵂	*qʰ(r)u 
朽	*qʰ(r)uʔ 
秀	*[s-l]u(ʔ)-s 
繡	*[s]iw(k)-s 
宿	*[s]uk-s 
嗅	*qʰu(ʔ)-s 
袖	*sə.[l]u-s 
虛	*C.qʰ(r)a 
墟	*C.qʰ(r)a 
須	*C-[s.n]o 
鬚	*C-[s.n]o 
須	*[s]o 
需	*s-no 
戌	*s.mi[t] 
虛	*qʰ(r)a 
吁	*qʷʰ(r)a 
訏	*qʷʰ(r)a 
邪	*sə.la 
徐	*sə.la 
湑	*s-raʔ (dialect: *s-r- > MC s-)
許	*qʰ(r)aʔ 
許	*qʰ(r)aʔ 
壻	*[s]ˤ[i][j]-s 
絮	*s-na-s 
恤	*s-[m]i[t] 
訹	*s-lut 
蓄	*qʰ<r>uk 
頊	*qʰ(r)ok 
畜	*qʰuk-s 
畜	*qʰuk 
蓄	*qʰuk 
稸	*qʰuk 
慉	*qʰuk 
侐	*m̥ik-s 
淢	*m̥(r)ik 
洫	*m̥(r)ik 
侐	*m̥(r)ik 
序	*[sə.l]aʔ 
緒	*s-m-taʔ 
敘	*s-m-taʔ 
續	*sə.lok 
藚	*sə.lok 
亘	*s-[q]ʷar 
宣	*s-qʷar 
亘	*swar (< *s-[q]ʷar)
軒	*qʰa[r] 
儇	*qʷʰen 
翾	*qʷʰen 
塤	*qʰo[n] 
諼	*qʷʰa[r] 
吅	*qʷʰar 
諠	*qʷʰar 
駽	*qʷʰˤen 
誸	*[ɢ]ˤi[n] 
懸	*N-kʷˤe[n] (error in B&S 2014, should be *Cə.[g]ʷˤe[n] to account for Mǐn)
縣	*[g]ʷˤe[n] 
玄	*[ɢ]ʷˤi[n] 
㘣	*s-[ɢ]ʷe[n] 
旋	*s-ɢʷen 
還	*s-ɢʷen 
癬	*[s]arʔ 
選	*[s]o[n]ʔ 
選	*[s]o[r]ʔ 
喧	*qʷʰar 
咺	*qʷʰarʔ 
晅	*qʷʰarʔ 
烜	*qʷʰarʔ 
鞙	*[ɢ]ʷˤenʔ 
選	*[s]o[n]ʔ-s 
駽	*qʷʰˤen-s 
絢	*qʷʰˤi[n]-s 
旋	*s-ɢʷen-s 
辥	*s.ŋat 
薛	*s.ŋat 
薛	*s.ŋat 
鷽	*qˤruk 
學	*m-kˤruk 
鷽	*m-qˤruk 
穴	*[ɢ]ʷˤi[t] 
雪	*[s]ot 
謔	*ŋ̊(r)awk 
烕	*m̥et 
血	*m̥ˤik 
葷	*qʰu[n] 
熏	*qʰu[n] 
薰	*qʰu[n] 
薰	*qʷʰər 
壎	*qʰo[n] 
燂	*[l]ˤom 
荀	*s.qʷi[n] 
爓	*[sə-l][ə]m 
尋	*sə-l[ə]m (< *-um ?)
尋	*sə-l[ə]m 
巡	*[sə.l]u[n] 
旬	*s-N-qʷi[n] 
紃	*s-du[n] 
馴	*sə.lu[n] 
循	*sə.lu[n] 
訊	*[s]i[n]-s 
濬	*s-[q]ʷi[n|ŋ]-s 
訓	*l̥u[n]-s (W dialect: *l̥- > x- )
徇	*s-[ɢ]ʷi[n]-s 
殉	*s.[ɢ]ʷi[n]-s 
鴉	*qˤra 
壓	*ʔˤrep 
押	*ʔˤrep 
厭	*ʔep 
牙	*m-ɢˤ<r>a 
芽	*m-ɢˤ<r>a 
厓	*ŋˤrar 
崖	*ŋˤrar 
涯	*ŋˤrar 
邪	*ɢ(r)A 
啞	*ʔˤraʔ 
雅	*N-ɢˤraʔ 
雅	*[N-ɢ]ˤraʔ 
庌	*[N]-qʰˤraʔ 
亞	*ʔˤrak-s 
軋	*qˤrət 
揠	*ʔˤr[e]t 
迓	*ŋˤ<r>ak-s 
襾	*qʰˤraʔ 
殷	*ʔˤrə[r] 
烟	*[q]ˤi[n] 
煙	*[q]ˤi[n] 
咽	*ʔˤi[n] 
淹	*ʔ(r)om 
鄢	*[ʔ](r)a[n] 
焉	*ʔa[n] 
猒	*ʔem 
厭	*ʔem 
鄢	*[ʔ]a[n] 
鄢	*[ʔ]a[n]ʔ 
焉	*[ʔ]a[n] (atonic)
炎	*[ɢ]ʷ(r)am 
巖	*[ŋ]ˤr[a]m (< uvular?)
顏	*C.ŋˤrar 
顏	*C.ŋˤrar 
妍	*[ŋ]ˤe[r] 
研	*[ŋ]ˤe[r] 
硏	*C.[ŋ]ˤe[r]-s (< uvular)
嚴	*ŋ(r)am 
言	*ŋa[n] 
言	*ŋa[n] 
言	*ŋa[n] 
言	*ŋa[r] 
檐	*Cə.[ɢ]am 
壛	*Cə.[ɢ]am 
阽	*[l]em 
檐	*[ɢ][a]m 
閻	*[ɢ][a]m 
鹽	*[ɢr][o]m 
羨	*[ɢ]a[n] 
延	*la[n] 
筵	*la[n] 
沿	*lon 
奄	*ʔ(r)omʔ 
㫃	*qarʔ 
偃	*ʔa[n]ʔ 
偃	*ʔa[n]ʔ 
眼	*[ŋ]ˤ<r>ə[n]ʔ 
儼	*ŋ(r)[a]mʔ 
巘	*ŋ(r)ar(ʔ) 
甗	*ŋrar-s 
甗	*ŋar 
巘	*ŋ(r)ar(ʔ) 
剡	*N-r[a]mʔ 
覃	*N-r[a]mʔ 
衍	*N-q(r)anʔ 
演	*N-q(r)anʔ 
晏	*ʔˤ<r>a[n]-s 
鴳	*ʔˤ<r>a[r]-s 
晏	*ʔˤe[n]-s 
燕	*ʔˤe[n]-s 
燕	*ʔˤe[n]-s 
宴	*ʔˤe[n]-s 
咽	*ʔˤi[n]-s 
饜	*ʔ<r>em-s 
猒	*ʔem-s 
鴈	*C.[ŋ]ˤrar-s 
雁	*C.[ŋ]ˤrar-s 
硯	*C.[ŋ]ˤe[r]-s (< uvular)
驗	*m-qʰr[a]m-s 
讞	*ŋ(r)ar-s 
諺	*ŋra[n]-s 
彥	*ŋrar-s 
讞	*ŋ(r)at 
鬳	*ŋar-s 
爓	*[ɢ]om-s 
鹽	*[ɢr][o]m-s 
央	*ʔaŋ 
央	*ʔaŋ 
殃	*ʔaŋ 
鴦	*ʔaŋ 
瘍	*[l]aŋ 
痒	*[ɢ](r)aŋ 
昜	*laŋ 
陽	*laŋ 
揚	*laŋ 
颺	*laŋ 
楊	*laŋ 
鍚	*laŋ 
洋	*ɢ(r)aŋ 
羊	*ɢaŋ 
痒	*s.[ɢ]aŋ 
仰	*C.ŋaŋʔ 
癢	*Cə.ɢaŋʔ 
養	*[ɢ](r)aŋʔ 
養	*[ɢ]aŋʔ 
羕	*[ɢ](r)aŋʔ-s 
幺	*ʔˤ[i]w 
夭	*[ʔ](r)aw 
腰	*ʔew 
爻	*N-kˤraw 
爻	*N-kˤraw 
肴	*[g]ˤraw 
堯	*[ŋ]ˤew 
䍃	*law 
窰	*law 
傜	*law 
徭	*law 
媱	*law 
搖	*law 
謠	*law 
窈	*ʔˤ[e]wʔ 
葯	*[q]ˤrewk 
要	*[q]ew(k)-s 
約	*[q]ewk-s 
樂	*[ŋ]ˤrawk-s 
藥	*m-r[e]wk 
曜	*lewk-s 
燿	*lewk-s 
耀	*lewk-s 
噎	*qˤik 
邪	*[ɢ](r)A 
也	*lAjʔ 
野	*lAʔ 
𡐨	*lAʔ 
埜	*lAʔ 
謁	*qat 
燁	*ɢʷ(r)[ə]p 
爗	*ɢʷ(r)[ə]p 
燁	*[ɢ]ʷ(r)[a]p 
爗	*[ɢ]ʷ(r)[a]p 
業	*[m-qʰ](r)[a]p 
業	*[m-qʰ](r)[a]p 
業	*[ŋ](r)[a]p 
夜	*[ɢ]Ak-s 
掖	*[ɢ](r)Ak 
腋	*[ɢ](r)Ak 
液	*ɢrAk 
葉	*l[a]p 
枼	*lap 
抴	*l[a]t 
鷖	*ʔˤij 
衣	*ʔ(r)əj 
依	*ʔəj 
吚	*[ʔ]ij 
咿	*[ʔ]ij 
伊	*ʔij 
揖	*qip 
一	*ʔi[t] 
壹	*ʔi[t] 
疑	*[ŋ](r)ə (< uvular)
沂	*[ŋ]ər (< uvular)
儀	*ŋ(r)aj 
宜	*ŋ(r)aj 
宜	*ŋ(r)aj 
𦣞	*[ɢ](r)ə 
頤	*[ɢ](r)ə 
台	*lə 
怡	*lə 
詒	*lə 
貽	*lə 
彝	*[l][ə]j 
夷	*ləj 
夷	*ləj 
移	*laj 
迻	*laj 
蛇	*laj 
匜	*laj 
遺	*[ɢ](r)uj 
鈶	*sə.ləʔ 
乙	*qrət 
偯	*ʔəjʔ 
椅	*Cə.q(r)ajʔ 
倚	*Cə.q(r)ajʔ 
矣	*qəʔ (atonic)
螘	*m-qʰəjʔ 
蛾	*m-qʰ(r)ajʔ 
蟻	*m-qʰ(r)ajʔ 
螘	*m-qʰ(r)ajʔ 
錡	*m.ɢ(r)ajʔ 
㠯	*ləʔ 
以	*ləʔ 
苡	*ləʔ 
已	*ɢ(r)əʔ 
胣	*lajʔ 
縊	*qˤ[i]k-s 
意	*ʔ(r)ək-s 
懿	*[ʔ]<r>ik-s 
㦤	*q<r>i[t]-s 
饐	*q<r>ik-s 
抑	*[ʔ](r)ik 
抑	*[ʔ]ik 
億	*ʔ(r)ək 
憶	*ʔ(r)ək 
臆	*ʔ(r)ək 
邑	*q(r)[ə]p 
浥	*q<r>ip 
衣	*ʔ(r)əj-s 
瘞	*q(r)[e]p-s 
縊	*q[i]k-s 
益	*q[i]k (dialect: *-ik > *-ek)
嗌	*q[i]k (dialect: *-ik > *-ek)
膉	*q[i]k 
挹	*qip 
挹	*qip 
挹	*qip 
唈	*qˤ[ə]p 
羿	*[ŋ]ˤer-s 
詣	*[ŋ]ˤij-s 
鷁	*m-ɢˤek 
劓	*[ŋ]rə[t]-s 
豙	*[ŋ]ə[t]-s 
毅	*[ŋ]ə[t]-s 
藙	*[ŋ]ə[t]-s 
仡	*[ŋ]ət 
義	*ŋ(r)aj-s 
議	*ŋ(r)aj-s 
㓷	*ŋ<r>[a][t]-s 
埶	*ŋet-s (MC I!)
蓺	*ŋet-s (MC I!)
藝	*ŋet-s (MC I!)
乂	*ŋa[t]-s 
乂	*ŋa[t]-s 
刈	*ŋa[t]-s 
異	*ɢ(r)ək-s 
异	*ɢ(r)ək-s 
弋	*lək 
翊	*ɢʷrəp (dialect: *-p > *-k)
翌	*ɢʷrəp (dialect: *-p > *-k)
翌	*ɢʷrəp (dialect: *-p > *-k) 
翼	*ɢʷrəp (dialect: *-p > *-k)
溢	*N-q(r)ik 
佾	*[N.]r[i]t 
逸	*[l]i[t] 
鎰	*[ɢ](r)ik 
易	*lek-s 
勩	*l[a][p]-s 
裔	*l[a][t]-s 
亦	*[ɢ](r)Ak 
奕	*[ɢ](r)Ak 
弈	*[ɢ](r)Ak 
譯	*lAk 
驛	*lAk 
易	*lek 
蜴	*lek 
亦	*ɢ(r)Ak 
役	*ɢʷek 
疫	*ɢʷek 
音	*[q](r)əm 
陰	*q(r)um 
駰	*ʔ<r>i[n] 
殷	*ʔə[r] 
殷	*ʔə[r] 
慇	*ʔə[r] 
殷	*ʔər 
愔	*[q]im 
垔	*[q]i[n] 
陻	*[q]i[n] 
禋	*[q]i[n] 
因	*ʔi[n] 
吟	*m-qʰ(r)[ə]m 
誾	*[ŋ]rə[n] (< uvular?)
銀	*ŋrə[n] 
垠	*[ŋ]ər 
圻	*[ŋ]ər 
寅	*[ɢ](r)ər 
淫	*N.r[ə]m 
㸒	*[N.]r[ə]m 
夤	*[ɢ[(r)ə[r] 
寅	*[ɢ](r)ər 
飲	*q(r)[u]mʔ 
隱	*[ʔ](r)ə[n]ʔ 
隱	*[ʔ](r)ə[n]ʔ 
蚓	*[ɢ](r)ə[r]ʔ 
螾	*[ɢ](r)ə[r]ʔ 
引	*li[n]ʔ 
朄	*li[n](ʔ)-s 
引	*li[n]ʔ-s 
尹	*m-qurʔ 
蔭	*mə-q<r>[u]m-s 
飲	*q(r)[ə]mʔ-s 
隱	*ʔ(r)ə[r]ʔ-s 
印	*[ʔ]iŋ-s 
胤	*[ɢ]ə[n]-s 
罌	*[ʔ]ˤreŋ 
罃	*[ʔ]ˤreŋ 
鷹	*[q](r)əŋ 
應	*[q](r)əŋ 
膺	*[q](r)əŋ 
英	*ʔ<r>aŋ 
嬰	*ʔeŋ 
嬰	*ʔeŋ 
纓	*ʔeŋ 
纓	*ʔeŋ 
熒	*[N]-qʷˤeŋ 
螢	*m-qʷˤeŋ 
迎	*ŋ<r>aŋ 
蠅	*m-rəŋ 
贏	*[ɢ]eŋ 
盈	*leŋ (< *liŋ?)
楹	*leŋ 
營	*[ɢ]ʷeŋ 
影	*qraŋʔ 
郢	*leŋʔ 
穎	*[ɢ]ʷeŋʔ 
迎	*ŋ<r>aŋ-s 
邕	*[q](r)oŋ (< *[q](r)om)
癰	*q(r)oŋ 
庸	*loŋ 
傭	*loŋ 
永	*[ɢ]ʷraŋʔ 
泳	*[ɢ]ʷraŋ(ʔ)-s 
咏	*[ɢ]ʷraŋ-s 
詠	*[ɢ]ʷraŋ-s 
俑	*loŋʔ 
勇	*loŋʔ 
踊	*loŋʔ 
用	*loŋ-s 
幽	*[ʔ](r)iw 
憂	*ʔ(r)u 
優	*ʔ(r)u 
攸	*liw 
悠	*liw 
尤	*[ɢ]ʷə 
訧	*[ɢ]ʷə 
游	*[N-]ru 
游	*[N-]ru 
遊	*[N-]ru 
斿	*[N.]ru 
油	*[l][u] 
猶	*[ɢ(r)]u 
猶	*[ɢ(r)]u 
由	*l[u] 
友	*[ɢ]ʷəʔ 
有	*[ɢ]ʷəʔ 
酉	*N-ruʔ 
酉	*N-ruʔ 
酉	*N-ruʔ 
牖	*[l]uʔ 
莠	*[l]uʔ 
幼	*[ʔ](r)iw-s 
右	*[ɢ]ʷəʔ 
祐	*[ɢ]ʷəʔ 
囿	*[ɢ]ʷək-s 
又	*[ɢ]ʷəʔ-s 
右	*[ɢ]ʷəʔ-s (~ *m-qʷəʔ)
佑	*[ɢ]ʷəʔ-s 
祐	*[ɢ]ʷəʔ-s 
囿	*[ɢ]ʷək 
誘	*luʔ 
迂	*qʷ(r)a 
紆	*qʷ(r)a 
迂	*[ɢ]ʷ(r)a 
於	*[ʔ]a 
歈	*lˤo 
㬰	*[g]ruj-s 
盂	*[ɢ]ʷ(r)a 
竽	*[ɢ]ʷ(r)a 
雩	*[ɢ]ʷ(r)a 
于	*ɢʷ(r)a 
于	*ɦʷa (< *ɢʷ(r)a)
魚	*[r.ŋ]a 
漁	*[ŋ](r)a 
䱷	*[ŋ](r)a 
鋙	*ŋ(r)a 
虞	*[ŋ]ʷ(r)a 
虞	*[ŋ]ʷ(r)a 
隅	*ŋ(r)o 
娛	*ŋʷ(r)a 
余	*la 
餘	*la 
予	*laʔ 
輿	*m-q(r)a 
舁	*m-q(r)aʔ 
臾	*[ɢ](r)o 
諛	*[ɢ](r)o 
俞	*lo 
愉	*lo 
榆	*lo 
渝	*lo 
踰	*lo 
逾	*lo 
蝓	*Cə.lo 
傴	*q(r)oʔ 
雨	*C.ɢʷ(r)aʔ 
宇	*[ɢ]ʷ(r)aʔ 
羽	*[ɢ]ʷ(r)aʔ 
禹	*[ɢ]ʷ(r)aʔ 
圄	*m-qʰ<r>aʔ 
圉	*m-qʰ<r>aʔ 
語	*ŋ(r)aʔ 
鋙	*ŋ(r)aʔ 
予	*laʔ 
与	*m-q(r)aʔ 
與	*m-q(r)aʔ 
庾	*[ɢ](r)oʔ 
鬱	*qut 
蔚	*ʔut 
彧	*qʷək 
郁	*qʷək 
奧	*ʔ(r)uk 
薁	*ʔ(r)uk 
芋	*[ɢ]ʷ(r)a-s 
雨	*[ɢ]ʷ(r)aʔ-s 
或	*[ɢ]ʷrək 
域	*[ɢ]ʷrək 
緎	*[ɢ]ʷrək 
汩	*[ɢʷ]rət 
御	*m-[qʰ](r)aʔ 
禦	*m-qʰ(r)aʔ 
御	*[ŋ](r)a-s 
馭	*[ŋ](r)a-s 
語	*ŋ(r)aʔ-s 
玉	*[ŋ](r)ok (< uvular?) 
獄	*[ŋ]rok 
寓	*ŋ(r)o-s 
遇	*ŋ(r)o-s 
緎	*qʷʰrək 
譽	*m-q(r)a 
譽	*[ɢ](r)a-s 
豫	*laʔ-s 
豫	*laʔ-s 
譽	*m-q(r)a-s 
鸒	*m-q(r)a-s 
與	*ɢ(r)aʔ-s 
欲	*ɢ(r)ok 
愈	*loʔ 
喻	*lo-s 
儥	*[l][iw]k 
𧶠	*luk 
育	*m-quk 
毓	*m-quk 
鬻	*m-quk 
昱	*ɢʷrəp (dialect: *-əp > *-up > *-uk) 
煜	*ɢʷrəp 
繘	*N.qʷi[t] 
聿	*[N.]rut 
聿	*[m-]rut 
遹	*ɢʷi[t] 
悁	*qʷen 
蜎	*qʷenʔ 
淵	*[ʔ]ʷˤi[ŋ] 
肙	*qʷˤen 
蜎	*qʷˤen 
蜎	*[m-k-qʷ]enʔ 
員	*ɢʷ<r>en 
圓	*ɢʷ<r>en 
圜	*ɢʷ<r>en 
園	*C.ɢʷa[n] 
猨	*[ɢ]ʷa[n] 
援	*[ɢ]ʷa[n] 
袁	*[ɢ]ʷa[n] 
轅	*[ɢ]ʷa[n] 
垣	*[ɢ]ʷar 
爰	*ɢʷa[n] 
原	*N-ɢʷar 
原	*N-ɢʷar 
源	*N-ɢʷar 
元	*[ŋ]o[r] (< nasal + uvular)
捐	*[ɢ]ʷen 
緣	*lon 
苑	*[ʔ]o[r]ʔ 
苑	*[ʔ]o[r]ʔ 
遠	*C.ɢʷanʔ 
怨	*[ʔ]o[r]-s 
媛	*[ɢ]ʷra[n]-s 
院	*ɢʷra[n]-s 
𩕾	*[ŋ]o[n]-s (< nasal + uvular?)
願	*[ŋ]o[n]-s (< nasal + uvular?) 
約	*[q](r)ewk 
葯	*[q]ˤrewk 
曰	*[ɢ]ʷat 
戉	*[ɢ]ʷat 
鉞	*[ɢ]ʷat 
越	*[ɢ]ʷat 
粵	*[ɢ]ʷat 
樂	*[ŋ]ˤrawk 
嶽	*[ŋ]ˤrok 
岳	*[ŋ]ˤrok 
月	*[ŋ]ʷat 
刖	*[ŋ]ʷˤ<r>at 
龠	*lewk 
籥	*lewk 
躍	*lewk 
蜕	*lot 
悦	*lot 
閲	*lot 
閲	*lot 
説	*lot 
員	*[ɢ]ʷə[n] 
雲	*[ɢ]ʷə[n] 
芸	*[ɢ]ʷə[n] 
云	*[ɢ]ʷə[r] 
筠	*[ɢ]ʷri[n] 
匀	*[N-q]ʷi[n] 
匀	*[ɢ]ʷi[ŋ] 
藴	*ʔunʔ 
隕	*[ɢ]ʷrə[n]ʔ 
允	*[l]u[r]ʔ 
狁	*[l]u[r]ʔ 
愠	*ʔun-s 
藴	*ʔunʔ-s 
運	*[ɢ]ʷər-s 
韻	*[m-qʷ]<r>i[n]-s (no pre-Qín exx.)
韵	*[m-qʷ]<r>i[n]-s (no pre-Qín exx.)
均	*[m-qʷ]<r>i[n]-s (no pre-Qín exx.)
孕	*l[i]ŋ-s 
帀	*[ts]ˤ[ə]p 
雜	*[dz]ˤ[u]p 
災	*[ts]ˤə 
灾	*[ts]ˤə 
𢦒	*[ts]ˤə 
𢦏	*[ts]ˤə 
哉	*[ts]ˤə 
哉	*[ts]ˤə 
栽	*[ts]ˤə 
烖	*[ts]ˤə 
載	*[ts]ˤəʔ 
宰	*[ts]ˤəʔ 
在	*[dz]ˤəʔ 
載	*[m-ts]ˤəʔ-s 
再	*[ts]ˤə(ʔ)-s 
載	*[ts]ˤə[ʔ]-s 
載	*[ts]ˤəʔ-s 
簪	*Cə.tsˤ[ə]m 
簪	*tsr[ə]m 
噆	*tsˤ[ə]p 
暫	*[dz]ˤam-s 
贊	*tsˤarʔ-s 
臧	*[ts]ˤaŋ 
贓	*[ts]ˤaŋ 
藏	*m-tsʰˤaŋ-s 
葬	*[ts]ˤaŋ-s 
糟	*[ts]ˤu 
遭	*tsˤu 
鑿	*[dz]ˤawk 
鑿	*[dz]ˤawk 
早	*Nə.tsˤuʔ 
藻	*[ts]ˤawʔ 
棗	*[ts]ˤuʔ 
澡	*mə-tsˤawʔ 
繰	*mə-tsˤawʔ 
蚤	*tsˤuʔ 
皁	*[dz]ˤuʔ 
造	*[dzˤ]uʔ 
燥	*C.sˤawʔ 
譟	*C.sˤaw-s 
竈	*[ts]ˤuk-s 
造	*(mə-)tsʰˤuʔ-s 
澤	*lˤrak 
則	*[ts]ˤək 
則	*[ts]ˤək 
柞	*[ts]ˤrak 
責	*s-tˤrek 
責	*s-tˤrek 
夨	*[ts]rək 
𠨮	*[ts]rək 
仄	*[ts]rək 
𣅔	*[ts]rək 
昃	*[ts]rək 
𣅛	*[ts]rək 
賊	*k.dzˤək 
譖	*[ts]r[ə]m-s 
繒	*[dz]əŋ 
曾	*[ts]ˤəŋ 
憎	*[ts]ˤəŋ 
增	*s-tˤəŋ 
贈	*[dz]ˤəŋ-s 
甑	*S-təŋ-s 
柤	*tsˤra 
札	*s-qˤrət 
眨	*mə-[ts]ˤr[a]p (< *mə-S.pˤrap ?)
乍	*[dz]ˤrak-s 
詐	*[ts]ˤrak-s 
摘	*tˤrek 
齋	*tsˤr[ə]j 
宅	*m-tˤ<r>ak 
廌	*[d]ˤreʔ 
債	*s-tˤrek-s 
責	*s-tˤrek-s 
祭	*[ts](ˤ)re[t]-s 
瘵	*[ts](ˤ)re[t]-s 
飦	*C.qˤa[n] 
沾	*[t]rem 
